subsystem,versions,an_type,cm_type,proportion
external_apache-xml,A4.4_A5.0.0_CM11.0,deleted,deleted,0.0
external_doclava,A4.2_A4.3_CM10.1,identical,refactored,0.0
external_doclava,A4.2_A4.3_CM10.1,identical,argument,0.0
external_doclava,A4.2_A4.3_CM10.1,identical,body,0.0
external_doclava,A4.2_A4.3_CM10.1,identical,deleted,0.0
external_doclava,A4.2_A4.3_CM10.1,refactored,refactored,0.0
external_doclava,A4.2_A4.3_CM10.1,refactored,argument,0.0
external_doclava,A4.2_A4.3_CM10.1,refactored,body,0.0
external_doclava,A4.2_A4.3_CM10.1,refactored,deleted,0.0
external_doclava,A4.2_A4.3_CM10.1,argument,refactored,0.0
external_doclava,A4.2_A4.3_CM10.1,argument,argument,0.0
external_doclava,A4.2_A4.3_CM10.1,argument,body,0.25
external_doclava,A4.2_A4.3_CM10.1,argument,deleted,0.0
external_doclava,A4.2_A4.3_CM10.1,body,refactored,0.0
external_doclava,A4.2_A4.3_CM10.1,body,argument,0.0
external_doclava,A4.2_A4.3_CM10.1,body,body,0.75
external_doclava,A4.2_A4.3_CM10.1,body,deleted,0.0
external_doclava,A4.2_A4.3_CM10.1,deleted,refactored,0.0
external_doclava,A4.2_A4.3_CM10.1,deleted,argument,0.0
external_doclava,A4.2_A4.3_CM10.1,deleted,body,0.0
external_doclava,A4.2_A4.3_CM10.1,deleted,deleted,0.0
external_doclava,A4.4_A5.0.0_CM11.0,identical,refactored,0.0
external_doclava,A4.4_A5.0.0_CM11.0,identical,argument,0.0
external_doclava,A4.4_A5.0.0_CM11.0,identical,body,0.0
external_doclava,A4.4_A5.0.0_CM11.0,identical,deleted,0.0
external_doclava,A4.4_A5.0.0_CM11.0,refactored,refactored,0.0
external_doclava,A4.4_A5.0.0_CM11.0,refactored,argument,0.0
external_doclava,A4.4_A5.0.0_CM11.0,refactored,body,0.0
external_doclava,A4.4_A5.0.0_CM11.0,refactored,deleted,0.0
external_doclava,A4.4_A5.0.0_CM11.0,argument,refactored,0.0
external_doclava,A4.4_A5.0.0_CM11.0,argument,argument,0.0
external_doclava,A4.4_A5.0.0_CM11.0,argument,body,0.0
external_doclava,A4.4_A5.0.0_CM11.0,argument,deleted,0.0
external_doclava,A4.4_A5.0.0_CM11.0,body,refactored,0.0
external_doclava,A4.4_A5.0.0_CM11.0,body,argument,0.0
external_doclava,A4.4_A5.0.0_CM11.0,body,body,1.0
external_doclava,A4.4_A5.0.0_CM11.0,body,deleted,0.0
external_doclava,A4.4_A5.0.0_CM11.0,deleted,refactored,0.0
external_doclava,A4.4_A5.0.0_CM11.0,deleted,argument,0.0
external_doclava,A4.4_A5.0.0_CM11.0,deleted,body,0.0
external_doclava,A4.4_A5.0.0_CM11.0,deleted,deleted,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,identical,refactored,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,identical,argument,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,identical,body,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,identical,deleted,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,refactored,refactored,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,refactored,argument,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,refactored,body,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,refactored,deleted,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,argument,refactored,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,argument,argument,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,argument,body,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,argument,deleted,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,body,refactored,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,body,argument,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,body,body,1.0
external_doclava,A6.0.0_A7.0.0_CM13.0,body,deleted,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,deleted,refactored,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,deleted,argument,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,deleted,body,0.0
external_doclava,A6.0.0_A7.0.0_CM13.0,deleted,deleted,0.0
external_javasqlite,A4.2_A4.3_CM10.1,identical,refactored,0.0
external_javasqlite,A4.2_A4.3_CM10.1,identical,argument,0.6666666666666666
external_javasqlite,A4.2_A4.3_CM10.1,identical,body,0.3333333333333333
external_javasqlite,A4.2_A4.3_CM10.1,identical,deleted,0.0
external_javasqlite,A4.2_A4.3_CM10.1,refactored,refactored,0.0
external_javasqlite,A4.2_A4.3_CM10.1,refactored,argument,0.0
external_javasqlite,A4.2_A4.3_CM10.1,refactored,body,0.0
external_javasqlite,A4.2_A4.3_CM10.1,refactored,deleted,0.0
external_javasqlite,A4.2_A4.3_CM10.1,argument,refactored,0.0
external_javasqlite,A4.2_A4.3_CM10.1,argument,argument,0.0
external_javasqlite,A4.2_A4.3_CM10.1,argument,body,0.0
